from,to,kommentar,tonalität,zeit,folge,thema
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
AFD,JS,2,3,238,2,10
TC,JS,2,2,238,2,10
AFD,JS,2,3,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
AFD,JS,2,3,238,2,10
FDP,JS,1,1,238,2,10
CDU,DD,8,3,238,2,10
SPD,DD,8,3,238,2,10
GRUENE,DD,8,3,238,2,10
MG,DD,2,3,238,2,10
GK,DD,2,3,238,2,10
DD,JS,2,2,238,1,10
AFD,JS,8,2,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
FDP,JS,1,1,238,2,10
GRUENE,JS,1,1,238,2,10
DD,JS,2,2,238,2,10
DD,JS,2,2,238,2,10
MG,JS,2,1,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
FDP,JS,1,1,238,2,10
GRUENE,JS,1,1,238,2,10
CDU,WS,3,2,238,2,10
SPD,WS,3,2,238,2,10
GRUENE,WS,3,2,238,2,10
GK,MS,2,2,238,2,10
MS,JS,2,2,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
FDP,JS,1,1,238,2,10
GRUENE,JS,1,1,238,2,10
MS,JS,8,3,238,2,10
CDU,JS,1,1,238,2,10
UTH,JS,2,3,238,2,10
SL,JS,4,3,238,1,10
SL,JS,2,2,238,2,10
SL,JS,2,2,238,2,10
MR,JS,2,2,238,2,10
MR,JS,2,2,238,2,10
MR,JS,2,2,238,2,10
CDU,JS,1,1,238,2,10
SPD,JS,1,1,238,2,10
AFD,JS,8,2,238,2,10
SL,JS,2,3,238,2,10
JK,JS,2,3,238,2,10
AFD,JS,2,3,238,2,20
SL,JS,2,3,238,2,10
CDU,JS,1,1,238,2,10
HB,JS,1,1,238,2,10
AFD,WS,1,1,238,2,10
AFD,DSB,1,1,238,2,10
AFD,DSB,1,1,238,2,10
AFD,DSB,1,1,238,2,10
AFD,DSB,1,1,238,2,10
SPD,WS,1,1,238,2,10
CAD,DW,2,2,238,2,10
MR,DW,2,3,238,2,10
SPD,DW,1,1,238,2,10
JK,DW,2,2,238,2,10
AMA,DW,2,2,238,2,10
SPD,DW,1,1,238,2,10
SF,DW,2,3,238,2,10
PS,DW,2,3,238,2,10
SPD,DW,1,1,238,2,10
MR,DW,2,3,238,2,10
TL,DW,2,2,238,2,10
SPD,DW,1,1,238,2,10
FDP,PP,1,1,238,2,10
FDP,ST,1,1,238,2,10
FDP,ST,1,1,238,2,10
FDP,ST,1,1,238,2,10
LINKE,ST,1,1,238,2,10
FDP,ST,1,1,238,2,10
LINKE,ST,1,1,238,2,10
TL,ST,2,1,238,2,10
GRUENE,PP,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
FDP,JD,8,3,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
GRUENE,JD,1,1,238,2,10
CDU,PP,1,1,238,2,10
CDU,RH,1,1,238,2,10
CDU,RH,1,1,238,2,10
SPD,RH,1,1,238,2,10
AFD,PP,1,1,238,2,10
AFD,SB,1,1,238,2,10
AFD,SB,1,1,238,2,10
AFD,SB,1,1,238,2,10
CDU,SB,2,2,238,2,10
AFD,SB,1,1,238,2,10
GKA,SB,2,2,238,2,10
AFD,SB,1,1,238,2,10
SPD,SB,8,3,238,2,10
AFD,SB,1,1,238,2,10
SPD,SB,8,3,238,2,10
AFD,SB,1,1,238,2,10
GKA,SB,2,2,238,2,10
SB,GKA,7,2,238,1,10
GKA,SB,7,2,238,1,10
SB,GKA,7,2,238,1,10
SPD,SB,7,2,238,2,10
SPD,PP,1,1,238,2,10
SPD,SD,1,1,238,2,10
SPD,SD,1,1,238,2,10
GRUENE,SD,1,1,238,2,10
CAD,SD,2,3,238,2,10
SPD,SD,1,1,238,2,10
SPD,SD,1,1,238,2,10
FDP,PP,1,1,238,2,10
FDP,TS,1,1,238,2,10
FG,TS,1,1,238,2,10
FDP,TS,1,1,238,2,10
FDP,TS,1,1,238,2,10
TL,TS,1,1,238,2,10
FDP,TS,1,1,238,2,10
FDP,TS,1,1,238,2,10
FDP,TS,1,1,238,2,10
AG,TS,2,3,238,2,10
GRUENE,MR,1,1,238,2,10
SPD,MR,1,1,238,2,10
RR,TS,2,2,238,2,10
SL,TS,2,2,238,2,10
MR,TS,4,3,238,2,10
SL,TS,2,2,238,2,10
FDP,TS,1,1,238,2,10
MR,TS,4,3,238,2,10
CDU,PP,1,1,238,2,10
PS,PP,2,2,238,2,10
JD,TF,2,3,238,1,10
SL,TF,2,3,238,2,10
MR,TF,2,2,238,2,10
CDU,TF,1,1,238,2,10
CDU,TF,1,1,238,2,10
MR,TF,2,2,238,2,10
SPD,PP,1,1,238,2,10
HB,MSF,1,1,238,2,10
RH,MSF,1,1,238,2,10
SPD,MSF,1,1,238,2,10
SPD,MSF,1,1,238,2,10
GRUENE,MSF,1,1,238,2,10
SPD,MSF,1,1,238,2,10
CDU,PP,1,1,238,2,10
MR,JML,3,3,238,2,10
CDU,JML,1,1,238,2,10
SB,JML,2,2,238,2,10
LINKE,JML,2,2,238,2,10
CDU,JML,1,1,238,2,10
SPD,JML,1,1,238,2,10
SPD,PP,1,1,238,2,10
GRUENE,HB,1,1,238,2,10
SPD,HB,1,1,238,2,10
GRUENE,HB,1,1,238,2,10
GRUENE,HB,1,1,238,2,10
SPD,HB,1,1,238,2,10
GRUENE,HB,1,1,238,2,10
SPD,HB,1,1,238,2,10
MRA,PP,1,1,238,2,10
GRUENE,BBA,2,4,2,2,10
AFD,BB,1,1,2,2,10
CL,BB,2,4,2,2,10
AFD,BB,1,1,2,2,15
CS,BB,2,3,2,2,15
GKA,BB,4,3,2,2,15
MBU,BB,2,4,2,2,15
AFD,BB,1,1,2,2,15
CS,BB,2,2,2,2,15
AFD,BB,1,1,2,2,15
NK,BB,2,2,2,2,15
MBU,BB,2,2,2,2,15
KH,BB,2,2,2,2,15
MBU,BB,2,2,2,2,15
CDU,BB,8,4,2,2,15
SPD,BB,8,4,2,2,15
GRUENE,BB,8,4,2,2,15
AFD,BB,1,1,2,2,15
CR,BB,4,3,2,2,15
AFD,BB,1,1,2,2,15
MGB,BB,2,2,2,2,15
CR,BB,2,4,2,1,15
SB,CR,7,2,2,2,15
SPD,GKA,1,1,2,2,15
BB,GKA,2,4,2,2,15
BB,GKA,2,2,2,2,15
SB,GKA,2,2,2,2,15
BB,GKA,2,2,2,2,15
SPD,GKA,1,1,2,2,15
GRUENE,GKA,1,1,2,2,15
FDP,GKA,1,1,2,2,15
LINKE,GKA,1,1,2,2,15
SB,GKA,2,4,2,2,15
BB,GKA,2,2,2,2,15
SPD,GKA,1,1,2,2,15
SB,GKA,2,2,2,2,15
SPD,GKA,1,1,2,2,15
SPD,GKA,1,1,2,2,15
FDP,GKA,1,1,2,2,15
GRUENE,GKA,1,1,2,2,15
JK,GKA,2,1,2,2,15
AFD,GKA,2,2,2,2,15
SPD,GKA,1,1,2,2,15
FDP,GKA,1,1,2,2,15
SB,GKA,2,2,2,2,15
BB,GKA,2,2,2,2,15
SB,GKA,2,2,2,2,15
SPD,GKA,1,1,2,2,15
SB,GKA,2,2,2,2,15
SPD,GKA,1,1,2,2,15
FDP,GKA,1,1,2,2,15
GRUENE,GKA,1,1,2,2,15
LINKE,GKA,1,1,2,2,15
SB,GKA,2,4,2,2,15
SB,BB,2,4,2,1,15
GKA,SB,7,2,2,1,15
KGE,SB,7,2,2,2,15
SPD,MSC,1,1,2,2,15
MGB,MSC,2,3,2,2,15
SB,MSC,2,4,2,2,15
SPD,MSC,1,1,2,2,15
FDP,MSC,1,1,2,2,15
JK,MSC,1,4,2,2,15
ALI,MSC,2,4,2,2,15
SPD,MSC,1,1,2,2,15
GRUENE,MSC,1,1,2,2,15
FDP,MSC,1,1,2,2,15
CDU,MGB,1,1,2,2,15
SPD,MGB,2,3,2,2,15
CDU,MGB,2,3,2,1,15
CDU,MGB,1,1,2,2,15
CDU,MGB,1,1,2,2,15
FDP,MGB,2,3,2,2,15
GKA,MGB,2,2,2,2,15
CDU,MGB,1,1,2,2,15
CDU,MGB,1,1,2,2,15
ALI,MGB,2,1,2,2,15
ALI,MGB,2,1,2,2,15
ALI,MGB,2,1,2,2,15
MBU,MGB,2,2,2,2,15
CDU,MGB,1,1,2,2,15
MBU,MGB,2,2,2,2,15
MBU,MGB,2,4,2,2,15
CDU,MGB,1,1,2,2,15
JK,MGB,2,2,2,2,15
CDU,MGB,1,1,2,2,15
GRUENE,BH,1,1,2,2,15
FDP,BH,1,1,2,2,15
GRUENE,BH,1,1,2,2,15
FDP,BH,1,1,2,2,15
SPD,BH,1,1,2,2,15
MGB,BH,2,3,2,2,15
SB,BH,2,2,2,2,15
MGB,BH,2,3,2,2,15
MGB,BH,2,4,2,2,15
BB,BH,2,3,2,2,15
GRUENE,BH,1,1,2,2,15
FDP,BH,1,1,2,2,15
SPD,BH,1,1,2,2,15
GRUENE,BH,1,1,2,2,15
FDP,BH,1,1,2,2,15
SPD,BH,1,1,2,2,15
AFD,SB,1,1,2,2,14
MGB,SB,2,4,2,2,14
AFD,SB,1,1,2,2,15
GKA,SB,2,4,2,2,14
BSW,SB,2,3,2,2,15
AFD,SB,1,1,2,2,15
GKA,SB,2,2,2,2,15
GKA,SB,2,3,2,2,15
TSO,SB,2,3,2,2,15
AFD,SB,1,1,2,2,15
FDP,SB,2,2,2,2,15
SPD,SB,8,4,2,2,15
AFD,SB,1,1,2,2,15
YF,SB,2,4,2,2,15
FDP,BSW,1,1,2,2,15
FDP,BSW,1,1,2,2,15
SPD,BSW,1,1,2,2,15
CDU,BSW,1,1,2,2,15
GRUENE,BSW,1,1,2,2,15
LINKE,BSW,1,1,2,2,15
FDP,BSW,1,1,2,2,15
SPD,BSW,1,1,2,2,15
GRUENE,BSW,1,1,2,2,15
LINKE,BSW,1,1,2,2,15
FDP,BSW,1,1,2,2,15
FDP,BSW,1,1,2,2,15
SPD,BSW,1,1,2,2,15
GRUENE,BSW,1,1,2,2,15
LINKE,BSW,1,1,2,2,15
MGB,BSW,2,1,2,2,15
FDP,BSW,1,1,2,2,15
SPD,BSW,1,1,2,2,15
GRUENE,BSW,1,1,2,2,15
LINKE,BSW,1,1,2,2,15
LINKE,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
SMU,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
CDU,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
CR,JK,2,3,2,2,15
LINKE,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
CDU,JK,8,4,2,2,15
FDP,JK,8,4,2,2,15
AFD,JK,8,4,2,2,15
MGB,JK,2,4,2,2,15
MGB,JK,2,3,2,2,15
MGB,JK,2,3,2,2,15
CS,JK,2,4,2,2,15
LINKE,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
LINKE,JK,1,1,2,2,15
SMU,JK,1,1,2,2,15
FDP,JK,2,2,2,2,15
SB,BB,2,4,2,2,15
SB,BB,2,3,2,2,15
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SB,OS,2,2,2,2,10
SB,OS,2,2,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
AFD,OS,2,2,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
LINKE,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
NK,OS,2,4,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
NK,OS,2,4,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SB,OS,2,3,2,2,10
SB,OS,2,3,2,2,10
SB,OS,2,4,2,2,10
JK,OS,2,4,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SMUE,OS,4,2,2,1,10
BB,OS,4,3,2,2,10
SB,OS,2,4,2,2,10
SB,OS,2,4,2,2,10
JKO,OS,2,2,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SB,OS,2,2,2,2,15
SPD,OS,1,1,2,2,15
GRUENE,OS,1,1,2,2,15
FDP,OS,1,1,2,2,15
SB,OS,2,3,2,2,15
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
JK,TE,2,2,2,2,15
AFD,TE,1,1,2,2,15
AFD,TE,1,1,2,1,10
BB,OS,4,3,2,1,10
AFD,OS,4,3,2,1,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
SB,OS,2,2,2,2,10
NK,OS,2,4,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
CDU,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
AH,OS,1,1,2,2,10
MBU,OS,1,1,2,2,10
SPD,OS,1,1,2,2,10
GRUENE,OS,1,1,2,2,10
FDP,OS,1,1,2,2,10
CDU,OS,1,1,2,2,10
ADB,OS,1,1,2,2,10
CDU,RBH,1,1,2,2,10
CDU,RBH,1,1,2,2,15
CDU,RBH,1,1,2,2,15
CDU,RBH,1,1,2,2,15
CDU,RBH,1,1,2,2,10
CDU,RBH,1,1,2,1,10
BB,RBH,4,3,2,2,10
FDP,RBH,3,2,2,2,15
CDU,RBH,1,1,2,2,15
CDU,RBH,1,1,2,2,10
ALI,RBH,1,1,2,2,10
CDU,RBH,1,1,2,2,10
FDP,RBH,1,1,2,2,10
CDU,RBH,1,1,2,2,10
GRUENE,KGE,1,1,2,2,10
RBH,KGE,2,2,2,2,10
GRUENE,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
GRUENE,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
LINKE,KGE,1,1,2,2,10
RBH,KGE,2,2,2,2,10
ALI,KGE,2,2,2,2,10
GRUENE,KGE,1,1,2,2,10
AD,KGE,2,2,2,2,10
GRUENE,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
RBH,KGE,2,3,2,2,10
RBH,KGE,2,2,2,2,10
GRUENE,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
GRUENE,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
RBH,KGE,2,2,2,2,10
NK,KGE,2,2,2,2,10
SPD,KGE,1,1,2,2,10
GRUENE,KGE,1,1,2,2,10
SMUE,KGE,2,2,2,2,10
GRUENE,KGE,1,1,2,2,10
GRUENE,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
ALI,KGE,2,2,2,2,10
GRUENE,KGE,1,1,2,2,10
SPD,KGE,1,1,2,2,10
FDP,KGE,1,1,2,2,10
FDP,MBU,1,1,2,2,10
FDP,MBU,1,1,2,2,10
GRUENE,MBU,1,1,2,2,10
SB,MBU,2,2,2,2,10
FDP,MBU,1,1,2,2,10
GRUENE,MBU,1,1,2,2,10
SPD,MBU,1,1,2,2,10
ALI,MBU,2,2,2,2,10
FDP,MBU,1,1,2,2,10
ALI,MBU,2,2,2,2,10
FDP,MBU,1,1,2,2,10
GRUENE,MBU,1,1,2,2,10
SPD,MBU,1,1,2,2,10
ALI,MBU,2,2,2,2,10
FDP,MBU,1,1,2,2,10
FDP,MBU,1,1,2,2,10
SPD,MBU,1,1,2,2,10
FDP,MBU,1,1,2,2,10
GRUENE,MBU,1,1,2,2,10
SPD,MBU,1,1,2,2,10
AFD,SMUE,1,1,2,2,10
MBU,SMUE,2,2,2,2,10
AFD,SMUE,1,1,2,2,15
AFD,SMUE,1,1,2,2,10
AFD,SMUE,1,1,2,2,10
AFD,SMUE,1,1,2,2,10
AFD,SMUE,1,1,2,2,10
AFD,SMUE,1,1,2,2,10
SPD,SMUE,2,2,2,1,10
SMUE,SPD,7,3,2,1,10
YF,SMUE,2,2,2,1,10
SB,YF,2,4,2,1,10
CR,SB,7,4,2,2,10
LINKE,SF,1,1,2,2,10
LINKE,SF,1,1,2,2,10
GRUENE,SF,1,1,2,2,10
MBU,SF,1,1,2,2,10
GRUENE,SF,2,1,2,2,10
LINKE,SF,1,1,2,2,10
LINKE,SF,1,1,2,2,10
SB,SF,2,2,2,2,10
LINKE,SF,1,1,2,2,15
LINKE,SF,1,1,2,2,15
LINKE,SF,1,1,2,2,10
LINKE,SF,1,1,2,2,10
LINKE,SF,1,1,2,2,10
LINKE,SF,1,1,2,2,10
JK,SF,2,1,2,2,10
LINKE,SF,1,1,2,2,10
SPD,DW,1,1,2,2,15
SPD,DW,1,1,2,2,15
GRUENE,DW,1,1,2,2,15
FDP,DW,1,1,2,2,10
SPD,DW,1,1,2,2,10
GRUENE,DW,1,1,2,2,10
SPD,DW,1,1,2,2,10
GRUENE,DW,1,1,2,2,10
GRUENE,DW,1,1,2,2,10
FDP,DW,1,1,2,2,10
SPD,DW,1,1,2,2,10
SPD,DW,1,1,2,2,10
ALI,DW,2,2,2,2,10
AD,DW,2,2,2,2,10
RBH,DW,2,2,2,2,10
GRUENE,DW,1,1,2,2,15
FDP,DW,1,1,2,2,15
SPD,DW,1,1,2,2,15
GRUENE,DW,1,1,2,2,10
FDP,DW,1,1,2,2,10
SPD,DW,1,1,2,2,10
ALI,DW,2,2,2,2,10
CDU,AD,1,1,2,2,10
CDU,AD,1,1,2,2,10
HE,AD,2,2,2,2,10
CDU,AD,1,1,2,2,10
TC,AD,2,2,2,2,10
CDU,AD,1,1,2,2,10
HE,AD,2,3,2,2,10
CR,AD,2,3,2,2,10
CDU,AD,1,1,2,2,10
MBU,AD,2,3,2,2,10
CDU,AD,1,1,2,2,10
CDU,AD,1,1,2,2,10
MBU,AD,2,4,2,2,10
CDU,AD,1,1,2,2,10
SMUE,AD,2,2,2,2,10
CDU,AD,1,1,2,2,15
GRUENE,MKS,1,1,2,2,10
AD,MKS,2,3,2,2,10
AD,MKS,2,2,2,2,10
GRUENE,MKS,1,1,2,2,10
SPD,MKS,1,1,2,2,10
FDP,MKS,1,1,2,2,10
AD,MKS,2,4,2,2,10
ALI,MKS,2,2,2,2,15
GRUENE,MKS,1,1,2,2,15
AD,MKS,2,4,2,2,10
AD,MKS,2,3,2,2,10
ALI,MKS,2,2,2,2,10
AD,MKS,2,2,2,2,10
GRUENE,MKS,1,1,2,2,10
MBU,MKS,1,1,2,2,10
ALI,MKS,2,2,2,2,10
GRUENE,MKS,1,1,2,2,10
SPD,MKS,1,1,2,2,10
FDP,MKS,1,1,2,2,10
FDP,CAD,1,1,2,2,10
ALI,CAD,2,2,2,2,10
FDP,CAD,1,1,2,2,10
GRUENE,CAD,1,1,2,2,10
FDP,CAD,1,1,2,2,10
FDP,CAD,1,1,2,2,10
GRUENE,CAD,1,1,2,2,10
GRUENE,CAD,1,1,2,2,10
FDP,CAD,1,1,2,2,10
GRUENE,CAD,1,1,2,2,10
SPD,CAD,1,1,2,2,10
ALI,CAD,2,2,2,2,10
ALI,CAD,2,2,2,2,10
FDP,CAD,1,1,2,2,10
ALI,CAD,2,2,2,2,10
FDP,CAD,1,1,2,2,10
FDP,CAD,1,1,2,2,10
FDP,CAD,1,1,2,2,10
GRUENE,CAD,1,1,2,2,10
SPD,CAD,1,1,2,2,10
AFD,JSC,1,1,2,2,10
YF,JSC,2,4,2,2,10
AFD,JSC,1,1,2,2,10
AFD,JSC,1,1,2,2,10
SPD,JSC,8,4,2,2,10
AFD,JSC,1,1,2,2,10
KGE,JSC,2,1,2,2,10
AFD,JSC,1,1,2,2,10
AD,JSC,2,2,2,2,10
AFD,JSC,1,1,2,2,10
MHE,JSC,1,1,2,2,10
AD,JSC,2,4,2,2,10
CDU,JML,1,1,2,2,10
CDU,JML,1,1,2,2,10
CDU,JML,1,1,2,2,10
CDU,JML,1,1,2,2,10
CDU,JML,1,1,2,2,10
ALI,JML,2,1,2,2,10
ALI,JML,2,1,2,2,10
CDU,JML,1,1,2,2,15
MBU,JML,2,2,2,2,10
MBU,JML,2,2,2,2,10
CDU,JML,1,1,2,1,15
BB,JML,4,3,2,1,15
SB,JML,2,4,2,2,15
KL,JML,4,3,2,2,10
AFD,KL,8,4,2,2,10
CDU,KL,8,4,2,2,10
BVS,KL,1,1,2,2,10
NK,KL,2,2,2,2,10
SPD,KL,1,1,2,2,10
GRUENE,KL,1,1,2,2,10
FDP,KL,1,1,2,2,10
CDU,JML,1,1,2,2,15
AFD,JML,1,1,2,2,15
CDU,JML,1,1,2,2,10
CDU,JML,1,1,2,2,10
GKA,JML,2,2,2,2,10
GRUENE,SD,1,1,2,2,10
SPD,SD,1,1,2,2,10
FDP,SD,1,1,2,2,10
SPD,SD,1,1,2,2,10
CAD,SD,1,1,2,2,10
SPD,SD,1,1,2,2,10
GRUENE,SD,1,1,2,2,10
MBU,SD,1,1,2,2,10
GRUENE,SD,1,1,2,2,10
SPD,SD,1,1,2,2,10
FDP,SD,1,1,2,2,10
GRUENE,SD,1,1,2,2,10
SPD,SD,1,1,2,2,10
FDP,SD,1,1,2,2,10
CDU,NW,1,1,2,2,10
RBH,NW,2,1,2,2,10
CDU,NW,1,1,2,2,10
CDU,NW,1,1,2,2,10
SB,NW,2,1,2,2,10
CDU,NW,1,1,2,2,10
MKS,NW,2,2,2,2,10
SB,TF,2,4,2,2,15
CDU,TF,1,1,2,2,3
BVS,TF,1,1,2,2,3
CDU,TF,1,1,2,2,7
SMUE,TF,2,4,2,2,7
CDU,TF,1,1,2,2,7
AFD,TF,1,1,2,2,7
JP,TF,2,2,2,2,7
CDU,TF,1,1,2,2,7
BB,TF,2,2,2,1,7
TF,BB,5,2,2,1,15
BB,TF,5,2,2,1,15
TF,BB,5,2,2,1,15
CDU,TF,1,1,2,2,15
SPD,TF,1,1,2,2,15
BB,TF,5,2,2,1,15
NK,TF,4,2,2,1,3
SPD,NK,3,2,2,2,3
GRUENE,NK,3,2,2,2,3
MW,NK,2,4,2,2,3
TF,NK,5,3,2,2,3
CDU,TF,1,1,2,2,3
SMUE,TF,2,2,2,2,3
CDU,TF,1,1,2,2,3
CL,TF,8,4,2,1,3
TC,TF,2,1,2,2,3
GRUENE,TF,2,2,2,2,12
CL,TF,8,4,2,2,3
CDU,TF,1,1,2,2,3
SMUE,HM,2,2,2,2,3
SB,HM,2,2,2,2,3
SPD,HM,1,1,2,2,3
SPD,HM,1,1,2,2,3
CDU,HM,1,1,2,2,3
GRUENE,HM,1,1,2,2,3
NK,HM,2,2,2,2,3
BVS,HM,2,3,2,2,3
BVS,HM,2,3,2,2,3
SPD,HM,1,1,2,2,3
LINKE,HM,1,1,2,2,3
GRUENE,HM,1,1,2,2,3
AFD,HM,8,4,2,2,3
NK,HM,2,4,2,2,3
SPD,HM,1,1,2,2,3
FDP,HM,1,1,2,2,3
GRUENE,HM,1,1,2,2,3
SB,HM,2,4,2,2,3
SPD,HM,1,1,2,2,3
GRUENE,HM,1,1,2,2,3
SB,HM,2,2,2,2,3
SPD,HM,1,1,2,2,3
GRUENE,HM,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
FDP,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
FDP,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
SPD,FB,2,1,2,2,3
GRUENE,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
AVJ,FB,1,1,2,2,3
SPD,FB,2,1,2,2,3
GRUENE,FB,1,1,2,2,3
AFD,FB,4,3,2,2,3
SPD,FB,1,1,2,2,7
GRUENE,FB,1,1,2,2,7
SB,FB,2,2,2,2,3
SPD,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
CDU,FB,1,1,2,2,3
FDP,FB,1,1,2,2,3
SB,FB,2,2,2,2,3
SPD,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
FDP,FB,1,1,2,2,3
FDP,JST,1,1,2,2,3
SPD,JST,1,1,2,2,3
GRUENE,JST,1,1,2,2,3
FDP,JST,1,1,2,2,3
SPD,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
FDP,FB,1,1,2,2,3
SPD,FB,1,1,2,2,3
GRUENE,FB,1,1,2,2,3
FDP,FB,1,1,2,2,7
AFD,GC,1,1,2,2,7
AFD,GC,1,1,2,2,3
MHE,GC,1,1,2,2,3
AFD,GC,1,1,2,2,7
MHE,GC,1,1,2,2,7
AFD,GC,1,1,2,2,3
MHE,GC,1,1,2,2,3
AFD,GC,1,1,2,2,3
AFD,GC,1,1,2,2,3
AFD,GC,1,1,2,2,3
MWB,GC,2,3,2,2,3
AFD,GC,1,1,2,2,3
GKA,GC,2,4,2,2,3
BVS,GA,2,2,2,2,7
NK,GA,2,2,2,2,3
LINKE,GA,1,1,2,2,7
LINKE,GA,1,1,2,2,7
LINKE,GA,1,1,2,2,3
ML,GA,1,1,2,2,3
AFD,GA,4,3,2,2,3
LINKE,GA,1,1,2,2,3
LINKE,GA,1,1,2,2,3
LINKE,GA,1,1,2,2,3
ML,GA,1,1,2,2,3
SPD,MF,2,2,2,2,3
SPD,MF,8,4,2,2,6
GRUENE,MF,8,4,2,2,6
AFD,MF,1,1,2,2,3
MF,GA,4,2,2,2,3
JP,JDW,4,3,2,2,15
CDU,JDW,1,1,2,2,15
FB,JDW,2,4,2,2,15
CDU,JDW,1,1,2,2,15
TC,JDW,2,2,2,2,7
AFD,JDW,2,2,2,2,7
CDU,JDW,1,1,2,2,3
SPD,JDW,1,1,2,2,3
GRUENE,JDW,1,1,2,2,3
LINKE,JDW,1,1,2,2,3
KG,JDW,2,2,2,2,7
AFD,JDW,2,2,2,2,7
SMUE,JDW,2,2,2,2,7
CDU,JDW,1,1,2,2,3
SPD,JDW,1,1,2,2,3
GRUENE,JDW,1,1,2,2,3
FDP,JDW,1,1,2,2,3
CDU,JDW,1,1,2,2,3
SPD,JDW,8,4,2,2,3
GRUENE,JDW,8,4,2,2,3
CDU,JDW,1,1,2,2,3
BCS,LC,2,2,2,2,3
SPD,LC,1,1,2,2,7
FB,LC,1,1,2,2,7
