from,to,kommentar,tonalität,zeit,folge,thema
CDU,PP,1,1,238,2,12
CDU,AL,1,1,238,2,12
SPD,AL,1,1,238,2,12
CDU,AL,1,1,238,2,12
DB,AL,6,3,238,1,12
CDU,AL,1,1,238,2,12
SPD,AL,1,1,238,2,12
CDU,AL,1,1,238,2,12
SPD,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
GRUENE,AL,1,1,238,2,12
AG,AL,6,2,238,1,12
TC,AL,6,2,238,1,12
AFD,AL,2,2,238,1,12
AW,AL,2,4,238,1,12
CDU,AL,1,1,238,2,12
SPD,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
GRUENE,AL,1,1,238,2,12
KG,AL,4,3,238,1,12
CDU,AL,1,1,238,2,12
SPD,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
KG,AL,6,2,238,2,12
BB,AL,6,2,238,2,12
CDU,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
KG,AL,4,5,238,2,12
CDU,AL,1,1,238,2,12
SPD,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
AFD,AL,3,2,238,1,12
UW,AL,6,2,238,2,12
CDU,AL,1,1,238,2,12
AG,AL,6,2,238,2,12
CDU,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
CDU,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
CDU,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
BH,AL,4,5,238,2,12
BH,AL,6,2,238,1,12
BH,AL,6,3,238,1,12
CDU,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
BH,AL,6,3,238,2,12
BH,AL,6,2,238,2,12
BH,AL,6,2,238,2,12
BH,AL,6,2,238,2,12
CDU,AL,1,1,238,2,12
AG,AL,6,2,238,2,12
AFD,KG,1,1,238,2,12
AFD,AL,8,5,238,2,12
AW,AL,6,2,238,1,12
CDU,AL,1,1,238,2,12
FDP,AL,1,1,238,2,12
CDU,AL,8,1,238,2,12
FDP,AL,8,1,238,2,12
AFD,AL,2,2,238,1,12
AW,AL,4,2,238,2,12
CDU,AL,1,1,238,2,12
FDP,PP,1,1,238,2,12
CDU,CD,1,1,238,2,12
SPD,CD,1,1,238,2,12
FDP,CD,1,1,238,2,12
LINKE,CD,1,1,238,2,12
GRUENE,CD,1,1,238,2,12
OF,CD,6,3,238,2,12
FDP,CD,1,1,238,2,12
BH,CD,6,2,238,2,12
FDP,CD,1,1,238,2,12
FDP,CD,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
LINKE,GL,1,1,238,2,12
